crop,soil_type,pH_range,sowing_month,seed_rate_kg_per_acre,fertilizer_type,fertilizer_schedule,irrigation_freq_per_month,crop_duration_days,common_disease,treatment,expected_yield_quintal_per_acre
Chili,Black soil,6.1 - 8.4,Mar,18.6,Compost,Top Dressing,8,169,Downy Mildew,Use fungicide,13.65
Turmeric,Black soil,7.2 - 7.9,Oct,12.7,Urea,Both,2,152,Wilt,No treatment needed,13.55
Banana,Sandy loam,6.9 - 8.2,Feb,26.8,Urea,Both,8,99,Leaf Spot,Use crop rotation,24.19
Groundnut,Sandy loam,6.1 - 7.7,Oct,23.0,NPK,Both,5,126,Powdery Mildew,Use fungicide,19.99
Chickpea,Black soil,5.6 - 8.1,Aug,3.8,Urea,Basal,3,146,Leaf Spot,Use crop rotation,19.67
Coriander,Loamy,5.5 - 8.4,Apr,3.4,Urea,Top Dressing,6,130,Leaf Spot,Use fungicide,30.48
Barley,Clay,6.7 - 8.0,Feb,12.6,NPK,Basal,2,129,Wilt,Remove infected parts,13.95
Spinach,Sandy loam,5.9 - 8.1,Aug,26.1,Compost,Top Dressing,5,116,Downy Mildew,Use crop rotation,17.33
Peas,Alluvial,7.0 - 7.7,Feb,17.9,Vermicompost,Basal,6,103,Downy Mildew,Apply neem extract,29.85
Beetroot,Sandy loam,5.6 - 8.3,Apr,9.4,Compost,Basal,3,126,Blight,Use crop rotation,29.52
Maize,Alluvial,5.6 - 7.9,May,29.6,Vermicompost,Both,8,178,Rust,No treatment needed,5.88
Sunflower,Sandy loam,6.2 - 8.4,Jun,8.4,Vermicompost,Top Dressing,6,114,Wilt,Apply neem extract,7.05
Green Gram,Black soil,6.1 - 7.6,May,12.0,NPK,Basal,2,69,Downy Mildew,Use fungicide,17.09
Guava,Alluvial,5.9 - 8.3,Apr,21.5,Compost,Top Dressing,8,98,Anthracnose,Apply neem extract,9.28
Ginger,Sandy loam,6.6 - 8.2,Jul,4.0,Vermicompost,Basal,6,116,Rust,Spray insecticide,21.89
Rice,Alluvial,6.1 - 8.3,Sep,9.3,Vermicompost,Top Dressing,6,147,Leaf Spot,Spray insecticide,28.13
Grapes,Alluvial,6.9 - 7.6,Mar,14.0,NPK,Basal,3,69,Stem Borer,Remove infected parts,6.15
Sweet Corn,Sandy loam,6.4 - 7.7,Aug,27.0,Compost,Both,6,105,Stem Borer,Use fungicide,34.07
Barley,Alluvial,6.3 - 7.9,Apr,8.7,Urea,Basal,8,107,Wilt,Remove infected parts,8.39
Brinjal,Clay,6.1 - 7.7,Jul,24.2,Urea,Top Dressing,8,81,Rust,Spray insecticide,12.44
Black Gram,Loamy,5.7 - 8.1,May,28.8,NPK,Basal,5,160,Leaf Spot,Remove infected parts,24.66
Maize,Sandy loam,6.6 - 7.7,Oct,7.2,Urea,Both,5,73,Powdery Mildew,No treatment needed,7.04
Sesame,Alluvial,6.7 - 7.9,Feb,6.2,Vermicompost,Both,3,151,Rust,Spray insecticide,20.07
Sugarcane,Black soil,5.6 - 8.3,Jan,18.7,NPK,Basal,5,144,Anthracnose,Spray insecticide,16.9
Mango,Clay,6.5 - 7.8,Feb,24.3,NPK,Top Dressing,3,100,Powdery Mildew,Spray insecticide,15.64
Turmeric,Alluvial,6.3 - 8.1,Aug,4.4,DAP,Both,2,174,Wilt,Apply neem extract,25.18
Okra,Alluvial,5.5 - 8.4,Jul,5.1,DAP,Top Dressing,5,118,Anthracnose,No treatment needed,12.75
Radish,Loamy,5.7 - 7.7,Mar,15.0,DAP,Basal,3,75,Root Rot,Use fungicide,24.89
Chickpea,Black soil,6.9 - 7.7,Oct,4.9,Vermicompost,Both,3,168,Anthracnose,Remove infected parts,19.64
Ginger,Alluvial,6.4 - 8.3,Nov,14.1,Urea,Top Dressing,8,172,Leaf Spot,No treatment needed,6.07
Wheat,Loamy,7.0 - 7.7,Aug,17.9,Compost,Basal,4,114,Downy Mildew,Remove infected parts,17.01
Grapes,Clay,6.9 - 8.0,Jun,26.0,NPK,Top Dressing,5,164,Downy Mildew,Use fungicide,10.68
Onion,Alluvial,5.6 - 8.4,Dec,21.6,DAP,Both,7,127,Leaf Spot,Remove infected parts,19.95
Radish,Clay,6.4 - 8.5,Mar,13.4,NPK,Basal,5,62,Rust,Use fungicide,11.69
Tea,Alluvial,6.5 - 8.2,Jul,26.4,Vermicompost,Basal,4,64,Rust,No treatment needed,13.69
Coriander,Clay,7.1 - 8.1,Jul,26.3,Urea,Top Dressing,2,80,Leaf Spot,Apply neem extract,9.37
Papaya,Black soil,5.8 - 8.1,Jan,11.8,Compost,Both,5,77,Downy Mildew,No treatment needed,23.51
Guava,Black soil,7.2 - 8.4,Nov,18.0,Urea,Both,6,148,Stem Borer,Spray insecticide,13.73
Rice,Alluvial,6.6 - 8.4,Aug,15.7,Compost,Top Dressing,8,174,Rust,Spray insecticide,11.45
Maize,Alluvial,5.6 - 8.4,Mar,18.3,DAP,Basal,7,112,Leaf Spot,No treatment needed,5.53
Mango,Black soil,5.7 - 7.9,Sep,28.6,Compost,Both,7,82,Wilt,Use crop rotation,23.17
Potato,Alluvial,7.2 - 7.6,Apr,15.1,Compost,Top Dressing,2,90,Wilt,No treatment needed,24.34
Chickpea,Sandy loam,5.6 - 8.4,Mar,16.4,DAP,Top Dressing,2,67,Wilt,No treatment needed,18.75
Orange,Alluvial,6.0 - 8.0,Apr,21.5,Compost,Both,2,165,Powdery Mildew,Remove infected parts,29.76
Tomato,Loamy,7.0 - 8.0,Jan,21.8,Compost,Both,3,86,Wilt,Remove infected parts,28.12
Finger Millet,Alluvial,7.4 - 7.8,May,16.6,Vermicompost,Basal,3,76,Rust,Use crop rotation,23.79
Papaya,Sandy loam,5.6 - 7.8,Oct,7.9,Compost,Basal,5,140,Root Rot,Remove infected parts,9.73
Bottle Gourd,Loamy,6.7 - 7.8,Jul,29.8,NPK,Both,8,159,Stem Borer,Apply neem extract,8.58
Garlic,Clay,5.6 - 8.1,Mar,12.7,Urea,Both,4,120,Rust,Apply neem extract,25.72
Coriander,Loamy,6.5 - 7.7,Oct,26.1,Urea,Top Dressing,4,98,Stem Borer,Spray insecticide,6.66
Soybean,Loamy,7.3 - 8.0,Apr,19.5,DAP,Both,5,159,No major disease,Spray insecticide,29.17
Guava,Clay,5.6 - 8.4,Oct,11.3,Compost,Top Dressing,7,161,Blight,No treatment needed,6.96
Wheat,Alluvial,6.2 - 8.2,Feb,28.1,Compost,Basal,8,124,Rust,Use fungicide,20.51
Bottle Gourd,Black soil,7.0 - 8.4,Jun,25.5,Compost,Both,6,129,Blight,No treatment needed,28.87
Garlic,Black soil,6.1 - 8.3,May,18.5,Compost,Both,2,140,Leaf Spot,No treatment needed,12.93
Sugarcane,Clay,6.6 - 8.1,Feb,7.3,NPK,Top Dressing,3,69,Powdery Mildew,Remove infected parts,5.95
Lemon,Alluvial,7.4 - 8.0,Aug,9.9,NPK,Both,2,144,Rust,Remove infected parts,10.04
Cotton,Sandy loam,7.4 - 8.0,Apr,13.3,DAP,Top Dressing,4,135,Blight,No treatment needed,7.13
Black Gram,Sandy loam,7.4 - 7.8,Jun,6.5,Compost,Basal,6,171,Powdery Mildew,No treatment needed,28.65
Soybean,Clay,7.0 - 8.3,Nov,10.8,Compost,Top Dressing,4,139,Stem Borer,Apply neem extract,22.13
Mango,Alluvial,7.3 - 7.9,Apr,29.3,Compost,Both,5,151,Leaf Spot,Use fungicide,23.06
Groundnut,Loamy,6.2 - 8.4,Nov,4.7,Urea,Top Dressing,3,93,Anthracnose,Use crop rotation,6.34
Cotton,Clay,5.6 - 8.1,Apr,3.2,Compost,Basal,6,172,Root Rot,No treatment needed,23.91
Maize,Loamy,6.2 - 8.5,Jun,19.6,NPK,Top Dressing,3,175,Stem Borer,Spray insecticide,6.36
Orange,Loamy,6.3 - 7.7,Oct,28.6,Compost,Top Dressing,8,129,Root Rot,No treatment needed,33.16
Chickpea,Black soil,7.3 - 7.6,Sep,29.9,NPK,Basal,5,100,Stem Borer,Use fungicide,30.47
Pineapple,Clay,6.1 - 7.9,Nov,8.8,Urea,Top Dressing,5,82,Blight,Spray insecticide,21.62
Wheat,Sandy loam,6.2 - 7.6,Dec,3.9,Vermicompost,Both,2,103,Anthracnose,Remove infected parts,26.22
Cotton,Clay,5.9 - 8.3,Jul,18.6,NPK,Both,3,93,Wilt,No treatment needed,27.98
Sesame,Black soil,7.3 - 8.0,Jan,16.9,DAP,Basal,4,149,Root Rot,No treatment needed,23.16
Tea,Alluvial,6.3 - 8.5,Nov,10.1,DAP,Both,5,119,Anthracnose,Use crop rotation,27.24
Groundnut,Clay,7.0 - 8.1,Oct,8.1,Vermicompost,Top Dressing,3,148,Blight,Use fungicide,34.0
Banana,Clay,6.3 - 7.8,Nov,22.0,Vermicompost,Both,8,114,Anthracnose,No treatment needed,9.89
Cotton,Sandy loam,6.9 - 8.4,Nov,18.3,NPK,Both,3,174,Leaf Spot,Remove infected parts,7.96
Green Gram,Black soil,6.7 - 7.7,Dec,20.5,Urea,Both,4,149,Powdery Mildew,Use fungicide,15.89
Finger Millet,Clay,5.7 - 8.3,Feb,28.2,Urea,Basal,5,104,Downy Mildew,Use crop rotation,16.95
Grapes,Loamy,6.6 - 7.8,May,27.7,Urea,Both,8,159,Leaf Spot,Remove infected parts,26.52
Maize,Sandy loam,6.7 - 8.2,Mar,23.7,Vermicompost,Top Dressing,4,132,Rust,Spray insecticide,32.65
Coffee,Clay,6.6 - 8.2,May,23.4,DAP,Basal,2,107,Rust,Use crop rotation,29.17
Pumpkin,Loamy,5.7 - 8.4,May,17.2,Urea,Basal,2,127,Root Rot,Apply neem extract,23.1
Pumpkin,Black soil,6.0 - 8.0,Jul,9.4,NPK,Basal,6,116,Stem Borer,Spray insecticide,15.34
Onion,Clay,6.2 - 8.2,Jun,13.3,Urea,Both,8,123,Downy Mildew,Spray insecticide,22.5
Turmeric,Loamy,5.8 - 7.8,Feb,12.8,Urea,Both,7,138,No major disease,Use crop rotation,10.47
Okra,Loamy,6.7 - 7.6,Jan,21.4,NPK,Basal,6,94,Downy Mildew,Use fungicide,28.96
Bottle Gourd,Sandy loam,5.6 - 7.8,Sep,21.8,Compost,Top Dressing,4,83,Wilt,Use crop rotation,6.35
Ginger,Black soil,5.8 - 7.8,Aug,13.8,Urea,Both,3,138,Powdery Mildew,Use fungicide,25.74
Pearl Millet,Sandy loam,5.5 - 8.4,Oct,27.7,Urea,Basal,5,168,Powdery Mildew,No treatment needed,24.87
Radish,Loamy,6.5 - 8.3,Jul,22.5,Compost,Both,7,118,Stem Borer,Use fungicide,22.76
Sesame,Alluvial,6.7 - 8.2,Jun,3.4,DAP,Top Dressing,6,142,Rust,Remove infected parts,15.82
Finger Millet,Alluvial,6.4 - 7.8,Aug,24.7,DAP,Top Dressing,2,153,Downy Mildew,Apply neem extract,13.86
Coriander,Clay,6.1 - 8.3,Sep,29.5,Vermicompost,Top Dressing,2,117,Leaf Spot,Apply neem extract,26.37
Finger Millet,Alluvial,6.3 - 8.2,Feb,15.3,Vermicompost,Both,6,171,Anthracnose,No treatment needed,6.67
Cauliflower,Sandy loam,6.6 - 8.4,Feb,9.8,DAP,Both,8,172,Downy Mildew,Use fungicide,16.63
Rice,Loamy,7.1 - 8.1,Apr,11.7,Urea,Top Dressing,2,90,Blight,Spray insecticide,13.52
Maize,Loamy,5.5 - 8.2,May,12.3,Urea,Both,3,61,Powdery Mildew,No treatment needed,21.96
Bottle Gourd,Alluvial,6.6 - 8.3,Sep,23.2,Compost,Basal,7,89,Wilt,Apply neem extract,16.14
Maize,Sandy loam,6.0 - 7.9,Oct,19.4,DAP,Both,3,145,Blight,Remove infected parts,20.39
Chili,Black soil,6.1 - 7.8,Jun,25.4,Compost,Both,7,96,Powdery Mildew,Use crop rotation,27.11
Sesame,Loamy,5.6 - 8.2,Mar,27.7,Urea,Top Dressing,5,86,No major disease,Apply neem extract,22.09
Papaya,Alluvial,7.2 - 8.3,Nov,27.8,Vermicompost,Both,3,162,Stem Borer,Remove infected parts,22.46
Banana,Loamy,5.9 - 7.8,Dec,23.3,NPK,Basal,5,171,Rust,Use crop rotation,30.89
Mango,Black soil,6.2 - 7.7,Sep,7.0,NPK,Both,2,178,Stem Borer,Remove infected parts,31.32
Coriander,Loamy,6.7 - 7.7,Nov,16.8,Vermicompost,Both,7,134,Leaf Spot,Remove infected parts,25.59
Finger Millet,Sandy loam,6.6 - 8.4,Nov,7.7,DAP,Both,4,107,No major disease,Use crop rotation,11.56
Peas,Loamy,5.6 - 8.4,Jun,17.2,Urea,Top Dressing,4,158,Root Rot,No treatment needed,19.72
Sunflower,Black soil,7.5 - 7.7,Feb,17.2,Vermicompost,Top Dressing,5,75,Blight,Apply neem extract,17.47
Pineapple,Black soil,6.1 - 8.0,May,17.6,DAP,Top Dressing,7,103,Blight,Use crop rotation,7.69
Brinjal,Clay,5.6 - 8.0,Oct,3.3,Vermicompost,Both,3,166,Anthracnose,Spray insecticide,33.32
Pumpkin,Clay,7.0 - 8.3,Jan,11.4,Urea,Both,2,135,Rust,Use crop rotation,34.54
Sweet Corn,Sandy loam,6.0 - 7.6,Nov,28.6,NPK,Basal,4,88,Powdery Mildew,No treatment needed,31.45
Mango,Alluvial,6.5 - 8.3,Jul,25.0,Urea,Basal,5,79,Leaf Spot,Use crop rotation,6.16
Garlic,Sandy loam,6.6 - 8.3,Dec,18.2,Urea,Top Dressing,2,138,No major disease,No treatment needed,31.9
Radish,Loamy,6.2 - 7.9,Dec,23.2,Urea,Basal,2,113,Blight,Use fungicide,16.41
Green Gram,Black soil,7.1 - 7.7,Sep,20.6,DAP,Basal,8,120,Anthracnose,No treatment needed,32.58
Finger Millet,Loamy,6.3 - 8.5,Nov,15.8,Compost,Top Dressing,3,83,Root Rot,Spray insecticide,28.35
Guava,Clay,5.6 - 8.3,Sep,20.7,DAP,Basal,6,105,Rust,Spray insecticide,31.69
Spinach,Alluvial,6.2 - 8.5,Dec,14.0,DAP,Both,3,101,Wilt,Remove infected parts,26.07
Maize,Clay,6.6 - 7.9,Mar,24.7,DAP,Both,6,130,Rust,Use crop rotation,26.91
Sesame,Loamy,6.1 - 8.1,Sep,25.3,Urea,Both,2,108,Root Rot,Apply neem extract,27.38
Pigeon Pea,Clay,7.1 - 8.2,Nov,23.6,NPK,Top Dressing,5,158,Anthracnose,Remove infected parts,12.48
Papaya,Alluvial,6.5 - 8.1,Jun,13.5,Compost,Basal,6,76,Stem Borer,Use fungicide,25.05
Sugarcane,Clay,5.7 - 7.7,Oct,20.0,Vermicompost,Both,5,148,Blight,Apply neem extract,14.75
Sunflower,Alluvial,5.6 - 8.5,Apr,5.7,NPK,Top Dressing,2,118,Stem Borer,Use crop rotation,21.9
Sunflower,Loamy,6.7 - 8.3,Feb,16.6,NPK,Top Dressing,7,174,Rust,Spray insecticide,23.87
Sorghum,Sandy loam,6.8 - 7.7,Feb,15.8,DAP,Basal,6,110,Stem Borer,Remove infected parts,25.18
Sweet Corn,Clay,7.0 - 8.3,Mar,6.4,NPK,Top Dressing,4,85,Anthracnose,Use fungicide,33.81
Cabbage,Black soil,5.6 - 8.2,Aug,6.6,Vermicompost,Top Dressing,5,79,Downy Mildew,Apply neem extract,27.55
Groundnut,Loamy,5.9 - 8.5,Dec,27.3,NPK,Both,7,145,Rust,Remove infected parts,34.54
Green Gram,Alluvial,6.3 - 8.0,Dec,20.0,NPK,Both,4,178,Wilt,Use fungicide,30.43
Mustard,Sandy loam,6.5 - 8.0,Nov,8.0,NPK,Both,2,150,Downy Mildew,Remove infected parts,7.6
Cauliflower,Black soil,6.7 - 8.3,Oct,12.6,Vermicompost,Basal,3,72,No major disease,Apply neem extract,34.1
Banana,Loamy,6.0 - 8.3,Feb,8.5,Vermicompost,Both,6,178,Downy Mildew,Use crop rotation,9.95
Mustard,Black soil,5.9 - 7.7,Oct,22.3,DAP,Top Dressing,4,178,Blight,Spray insecticide,9.74
Lemon,Alluvial,6.7 - 7.8,Oct,19.3,Urea,Both,5,120,Root Rot,No treatment needed,6.96
Tea,Sandy loam,5.9 - 8.1,Apr,5.6,Compost,Top Dressing,8,167,Downy Mildew,No treatment needed,33.7
Maize,Sandy loam,6.2 - 8.2,Dec,17.7,NPK,Both,4,177,Anthracnose,Use crop rotation,32.67
Wheat,Loamy,6.0 - 8.0,May,29.1,DAP,Basal,7,125,Wilt,No treatment needed,30.38
Apple,Clay,7.4 - 8.1,Nov,26.2,Compost,Basal,4,72,No major disease,Spray insecticide,26.07
Okra,Loamy,6.9 - 8.2,Jul,14.5,Urea,Basal,8,114,No major disease,Use crop rotation,12.7
Soybean,Black soil,6.1 - 7.8,Feb,11.6,Urea,Basal,6,122,Wilt,Apply neem extract,19.2
Coriander,Black soil,6.9 - 7.7,Jun,25.0,Vermicompost,Top Dressing,5,128,Rust,Spray insecticide,12.83
Papaya,Clay,6.9 - 8.0,Jul,13.6,Vermicompost,Top Dressing,4,71,Wilt,Spray insecticide,31.81
Pearl Millet,Alluvial,6.6 - 7.7,Aug,28.6,Compost,Top Dressing,3,125,Blight,Spray insecticide,7.92
Potato,Sandy loam,5.8 - 8.1,Aug,20.4,Compost,Both,8,152,Stem Borer,Remove infected parts,27.69
Tomato,Alluvial,6.3 - 8.1,Oct,25.2,Vermicompost,Basal,5,177,Rust,Remove infected parts,18.9
Cotton,Sandy loam,6.2 - 8.0,Aug,21.4,Compost,Top Dressing,3,168,Stem Borer,Use fungicide,34.61
Groundnut,Black soil,7.4 - 8.3,Feb,29.6,Vermicompost,Top Dressing,3,130,Leaf Spot,No treatment needed,12.5
Sesame,Sandy loam,6.0 - 7.8,Sep,19.5,Vermicompost,Basal,4,138,Anthracnose,Apply neem extract,21.65
Tomato,Black soil,5.6 - 8.3,Feb,20.6,DAP,Top Dressing,8,163,Downy Mildew,Use crop rotation,28.72
Groundnut,Loamy,7.4 - 8.0,Nov,23.3,Compost,Both,4,64,Powdery Mildew,Spray insecticide,14.26
Cabbage,Black soil,6.7 - 8.3,Jan,27.4,NPK,Both,3,127,Wilt,No treatment needed,16.81
Peas,Black soil,7.1 - 8.5,Jun,22.2,DAP,Basal,6,118,Stem Borer,No treatment needed,13.56
Cotton,Alluvial,7.0 - 7.8,Feb,17.3,Vermicompost,Basal,2,122,No major disease,Spray insecticide,9.56
Carrot,Clay,5.9 - 8.1,Aug,21.6,Urea,Top Dressing,2,77,Root Rot,Apply neem extract,29.1
Coriander,Loamy,6.4 - 8.0,Apr,7.1,DAP,Basal,3,92,Anthracnose,No treatment needed,5.89
Guava,Clay,6.1 - 8.1,May,7.3,Urea,Both,7,146,No major disease,Remove infected parts,21.73
Sweet Corn,Sandy loam,6.8 - 8.3,Mar,27.1,Compost,Both,2,127,Powdery Mildew,Remove infected parts,20.14
Lemon,Clay,5.8 - 8.2,Sep,22.7,DAP,Basal,8,81,No major disease,Apply neem extract,25.02
Onion,Alluvial,6.8 - 7.9,Aug,17.7,Compost,Basal,8,166,Anthracnose,Apply neem extract,17.64
Ginger,Black soil,7.2 - 7.8,May,8.5,Urea,Both,2,176,No major disease,Spray insecticide,6.53
Pumpkin,Loamy,7.5 - 7.6,Apr,20.2,Vermicompost,Basal,7,79,Stem Borer,Remove infected parts,5.26
Bottle Gourd,Clay,6.0 - 7.7,Nov,7.3,Urea,Both,5,61,Wilt,Use crop rotation,26.53
Pearl Millet,Sandy loam,6.3 - 8.2,Jul,6.6,NPK,Top Dressing,4,129,Leaf Spot,Remove infected parts,11.93
Garlic,Sandy loam,5.7 - 8.1,Apr,28.4,Urea,Basal,8,108,No major disease,Remove infected parts,9.86
Sorghum,Sandy loam,6.9 - 8.0,Nov,22.6,Compost,Top Dressing,2,116,Downy Mildew,No treatment needed,23.7
Sesame,Loamy,6.7 - 8.4,Mar,5.0,Vermicompost,Basal,7,97,Anthracnose,Spray insecticide,32.05
Peas,Black soil,7.5 - 8.3,Jun,23.5,DAP,Basal,2,133,Wilt,Use fungicide,20.95
Tomato,Black soil,7.1 - 8.2,Feb,13.9,Urea,Basal,2,120,Downy Mildew,Spray insecticide,28.97
Guava,Alluvial,6.2 - 8.1,Sep,12.8,Compost,Basal,2,128,Anthracnose,Apply neem extract,33.33
Pigeon Pea,Loamy,6.2 - 7.9,May,5.9,Compost,Basal,4,168,Powdery Mildew,Use fungicide,17.81
Chickpea,Black soil,7.1 - 7.8,Apr,22.2,Vermicompost,Both,2,101,Stem Borer,Remove infected parts,5.96
Orange,Sandy loam,5.8 - 8.2,Mar,22.0,DAP,Top Dressing,7,118,Stem Borer,No treatment needed,15.35
Mustard,Alluvial,7.5 - 7.7,Aug,5.6,NPK,Basal,5,155,Anthracnose,Use fungicide,32.42
Ginger,Black soil,7.0 - 8.2,Mar,3.8,Compost,Basal,5,159,Anthracnose,Apply neem extract,30.86
Radish,Clay,6.0 - 7.9,Feb,15.0,NPK,Both,6,104,Powdery Mildew,No treatment needed,19.47
Black Gram,Clay,6.8 - 7.9,Mar,21.4,Compost,Basal,8,66,Stem Borer,Apply neem extract,5.33
Green Gram,Loamy,6.1 - 8.1,Oct,3.9,Urea,Basal,7,82,Anthracnose,Apply neem extract,11.17
Banana,Black soil,5.9 - 7.7,Jul,16.0,DAP,Both,6,119,Wilt,Use crop rotation,19.88
Garlic,Black soil,7.0 - 8.5,Sep,19.4,Urea,Top Dressing,2,60,Leaf Spot,Use fungicide,19.91
Pigeon Pea,Sandy loam,6.6 - 7.8,Jun,5.3,Vermicompost,Basal,5,78,Downy Mildew,No treatment needed,22.18
Onion,Alluvial,6.3 - 8.0,Jul,3.5,Vermicompost,Basal,3,102,Wilt,Apply neem extract,13.03
Coffee,Loamy,6.5 - 7.6,May,7.2,Vermicompost,Both,7,84,Wilt,No treatment needed,31.01
Garlic,Alluvial,6.9 - 7.9,Jul,8.2,DAP,Top Dressing,8,135,Stem Borer,Use crop rotation,10.97
Sweet Corn,Loamy,6.8 - 7.8,Jul,12.1,Vermicompost,Basal,3,154,Leaf Spot,Use crop rotation,17.81
Sorghum,Black soil,7.1 - 7.9,Mar,19.8,Compost,Both,3,171,Anthracnose,Use fungicide,31.69
Beetroot,Black soil,7.2 - 7.9,May,27.2,Vermicompost,Both,4,74,Blight,Use fungicide,17.66
Cotton,Black soil,6.5 - 8.3,Feb,11.8,NPK,Top Dressing,4,107,Anthracnose,Remove infected parts,6.81
Mustard,Sandy loam,6.5 - 8.1,Jul,11.4,NPK,Both,2,137,Blight,Remove infected parts,31.3
Tea,Black soil,5.7 - 7.8,Oct,26.3,NPK,Top Dressing,8,167,No major disease,No treatment needed,29.34
Coffee,Black soil,6.8 - 7.9,May,29.1,NPK,Basal,5,108,Wilt,No treatment needed,27.82
Rice,Clay,5.8 - 8.0,Oct,15.1,Compost,Top Dressing,3,136,Rust,Use crop rotation,32.62
Sorghum,Sandy loam,7.4 - 8.3,Mar,12.6,Compost,Both,6,142,No major disease,No treatment needed,30.5
Lemon,Sandy loam,7.2 - 7.7,May,28.3,Compost,Basal,5,141,Wilt,Use fungicide,14.58
Grapes,Alluvial,6.8 - 8.5,May,17.7,DAP,Top Dressing,5,172,Rust,No treatment needed,33.36
Soybean,Black soil,6.8 - 7.8,Oct,22.2,DAP,Both,2,141,Stem Borer,Use crop rotation,13.17
Coffee,Alluvial,6.0 - 7.8,Jul,8.5,NPK,Basal,2,104,Leaf Spot,Apply neem extract,23.94
Pearl Millet,Sandy loam,7.2 - 8.3,Apr,10.3,DAP,Top Dressing,5,75,Anthracnose,Apply neem extract,31.73
Groundnut,Sandy loam,7.4 - 8.0,Sep,23.8,DAP,Basal,2,171,Leaf Spot,Apply neem extract,17.52
Radish,Loamy,5.6 - 7.9,Sep,20.9,Compost,Top Dressing,5,60,No major disease,Spray insecticide,6.97
Mustard,Black soil,5.9 - 8.4,Sep,28.4,Compost,Both,7,155,Stem Borer,Spray insecticide,7.68
Apple,Black soil,7.2 - 8.3,Oct,19.0,Vermicompost,Both,8,142,Downy Mildew,Use fungicide,29.73
Cotton,Clay,6.6 - 7.8,Aug,19.6,Compost,Both,3,164,Downy Mildew,Spray insecticide,6.06
Black Gram,Black soil,7.4 - 7.6,Mar,26.5,Urea,Both,6,84,Root Rot,Use fungicide,6.7
Ginger,Sandy loam,6.5 - 7.9,Nov,19.9,Vermicompost,Both,6,174,Powdery Mildew,Apply neem extract,17.45
Brinjal,Clay,6.6 - 7.8,Nov,22.2,Compost,Basal,4,179,Downy Mildew,Use fungicide,31.97
Apple,Black soil,7.5 - 8.1,Mar,27.7,Compost,Basal,3,111,Blight,Use crop rotation,27.37
Tea,Black soil,6.7 - 7.9,May,14.2,Urea,Basal,2,92,Leaf Spot,Remove infected parts,34.11
Maize,Black soil,6.8 - 8.1,Nov,24.9,Compost,Basal,7,173,Root Rot,Use crop rotation,21.45
Beetroot,Sandy loam,7.2 - 8.4,Apr,24.6,Compost,Basal,2,172,Root Rot,Remove infected parts,13.56
Green Gram,Clay,6.7 - 8.1,Nov,26.2,NPK,Basal,7,163,No major disease,Use fungicide,23.97
Banana,Sandy loam,7.0 - 8.0,Oct,12.7,Vermicompost,Both,5,84,No major disease,Spray insecticide,19.7
Pigeon Pea,Black soil,5.9 - 7.8,Jan,30.0,NPK,Top Dressing,8,149,Root Rot,Apply neem extract,5.23
Banana,Alluvial,7.4 - 7.8,Mar,21.7,NPK,Top Dressing,7,99,Blight,Spray insecticide,33.01
Papaya,Clay,6.6 - 8.3,Sep,15.5,NPK,Top Dressing,7,108,Downy Mildew,Use crop rotation,16.26
Onion,Alluvial,6.0 - 7.7,Jun,29.2,DAP,Basal,2,87,Blight,Apply neem extract,8.41
Cotton,Loamy,6.6 - 7.9,Jul,6.5,Urea,Top Dressing,4,85,Anthracnose,Spray insecticide,25.85
Grapes,Black soil,6.5 - 7.7,Jan,11.0,NPK,Top Dressing,4,130,Stem Borer,Remove infected parts,34.39
Beetroot,Loamy,5.7 - 8.2,Apr,6.6,DAP,Both,3,67,Leaf Spot,Remove infected parts,16.9
Carrot,Alluvial,5.5 - 7.9,Oct,26.3,Compost,Top Dressing,8,164,Anthracnose,Spray insecticide,28.23
Sunflower,Black soil,5.6 - 8.4,Nov,26.3,NPK,Top Dressing,5,165,Wilt,No treatment needed,34.08
Turmeric,Alluvial,6.3 - 7.9,May,6.7,NPK,Both,7,85,Powdery Mildew,Apply neem extract,12.89
Brinjal,Loamy,6.4 - 7.9,Oct,16.1,Compost,Top Dressing,7,82,Powdery Mildew,Use fungicide,14.03
Tea,Sandy loam,6.2 - 7.8,Jun,7.0,DAP,Top Dressing,6,162,Root Rot,Spray insecticide,16.32
Lemon,Clay,6.2 - 7.6,Jul,22.4,Urea,Basal,4,74,Leaf Spot,Use fungicide,10.0
Guava,Loamy,7.2 - 7.9,Mar,14.9,Compost,Top Dressing,7,141,Downy Mildew,Remove infected parts,17.37
Rice,Black soil,7.3 - 7.6,Nov,24.0,Vermicompost,Both,7,115,Root Rot,Spray insecticide,5.47
Beetroot,Clay,6.3 - 7.7,Sep,5.3,NPK,Basal,5,80,Anthracnose,Remove infected parts,33.67
Pineapple,Clay,6.0 - 7.9,Apr,18.5,Urea,Both,8,156,Root Rot,Use fungicide,10.95
Tomato,Clay,7.5 - 8.2,Nov,27.2,NPK,Both,3,172,Anthracnose,Use crop rotation,28.51
Tomato,Clay,6.0 - 8.3,Nov,9.5,NPK,Basal,5,172,Wilt,Use fungicide,13.62
Garlic,Loamy,7.2 - 7.8,Nov,27.5,DAP,Basal,7,142,No major disease,Spray insecticide,32.9
Coffee,Alluvial,7.1 - 8.4,Jun,13.5,Urea,Both,8,167,Stem Borer,Remove infected parts,9.97
Sunflower,Alluvial,7.4 - 8.5,Dec,17.6,NPK,Basal,8,103,Wilt,Use fungicide,13.64
